epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,128.243,0.91223,1.85868,1.29127,0.75849,0.83676,0.88731,0.69863,0.79654,0.90038,1.29057,0.000184631,0.000184631,0.000184631
2,241.55,0.90648,1.00192,1.24494,0.70999,0.86401,0.85155,0.67526,0.77915,0.79257,1.26715,0.000362639,0.000362639,0.000362639
3,352.289,0.90013,0.93775,1.24487,0.67694,0.84289,0.86018,0.68108,0.79489,0.94945,1.28515,0.000533308,0.000533308,0.000533308
4,462.344,0.89279,0.85761,1.24605,0.75551,0.8639,0.87634,0.69854,0.76247,0.70745,1.26564,0.000522974,0.000522974,0.000522974
5,572.741,0.87571,0.82146,1.24965,0.83247,0.87803,0.92034,0.7321,0.77986,0.63315,1.28268,0.000511965,0.000511965,0.000511965
6,683.09,0.86717,0.75357,1.23906,0.83807,0.88893,0.92207,0.74065,0.762,0.60348,1.26769,0.000500956,0.000500956,0.000500956
7,793.468,0.85618,0.72733,1.23124,0.8215,0.9149,0.9257,0.75286,0.75233,0.57594,1.23471,0.000489947,0.000489947,0.000489947
8,903.928,0.84056,0.69191,1.22917,0.821,0.84027,0.89953,0.72337,0.76512,0.64357,1.24515,0.000478938,0.000478938,0.000478938
9,1013.72,0.82396,0.68297,1.21142,0.83284,0.89136,0.92737,0.75485,0.73619,0.55634,1.23462,0.00046793,0.00046793,0.00046793
10,1124.33,0.82578,0.65663,1.21966,0.86002,0.90179,0.93453,0.75914,0.72877,0.52449,1.21042,0.000456921,0.000456921,0.000456921
11,1234.53,0.80446,0.62464,1.20073,0.88821,0.90261,0.9323,0.75155,0.75192,0.51117,1.23789,0.000445912,0.000445912,0.000445912
12,1344.36,0.81358,0.6202,1.20385,0.89289,0.89735,0.92964,0.75358,0.74565,0.51891,1.24552,0.000434903,0.000434903,0.000434903
13,1454.7,0.798,0.60853,1.20199,0.87597,0.93448,0.9374,0.7671,0.73338,0.48946,1.24146,0.000423894,0.000423894,0.000423894
14,1564.88,0.78375,0.59057,1.18727,0.86793,0.91375,0.93769,0.76613,0.73921,0.4996,1.22748,0.000412886,0.000412886,0.000412886
15,1675.25,0.79033,0.58547,1.18699,0.86531,0.88767,0.92315,0.75681,0.71653,0.54256,1.2035,0.000401877,0.000401877,0.000401877
16,1785.54,0.77321,0.58368,1.18183,0.87771,0.91335,0.94286,0.77225,0.73944,0.50705,1.2064,0.000390868,0.000390868,0.000390868
17,1895.24,0.77249,0.54883,1.17209,0.87318,0.9178,0.93883,0.7682,0.74481,0.49607,1.21941,0.000379859,0.000379859,0.000379859
18,2005.56,0.76022,0.53807,1.16469,0.86863,0.91925,0.93927,0.7746,0.72493,0.47882,1.20651,0.00036885,0.00036885,0.00036885
19,2116.05,0.76169,0.53238,1.17205,0.89052,0.91019,0.94347,0.78035,0.73246,0.46814,1.21434,0.000357842,0.000357842,0.000357842
20,2226.27,0.7611,0.52144,1.16705,0.87629,0.92411,0.94283,0.76764,0.73974,0.47266,1.21906,0.000346833,0.000346833,0.000346833
21,2337.22,0.74962,0.52519,1.154,0.89049,0.91655,0.93419,0.76869,0.73992,0.50827,1.23067,0.000335824,0.000335824,0.000335824
22,2447.85,0.73957,0.49592,1.15569,0.91127,0.87461,0.94501,0.77989,0.72318,0.4513,1.19579,0.000324815,0.000324815,0.000324815
23,2558.24,0.7355,0.49073,1.14809,0.88845,0.91414,0.9326,0.76983,0.72418,0.50094,1.20571,0.000313806,0.000313806,0.000313806
24,2668.62,0.72246,0.47664,1.13787,0.90649,0.92012,0.93808,0.77631,0.72979,0.4632,1.20291,0.000302798,0.000302798,0.000302798
